cp_id,cp_state,district_id,address_en,address2_en,address_tc,address2_tc,address_sc,address2_sc,lat,lgt,waste_type
"323","Accepted","Kwai_Tsing","Kau Wah Keng Old Tsuen Refuse Collection Point at Kau Wa Keng Old Tsuen, Lai King Hill Road","","九華徑舊村垃圾收集站，荔景山路九華徑舊村","","九华径旧村垃圾收集站，荔景山路九华径旧村","","22.343300","114.138025","Metals,Paper,Plastics"
"324","Accepted","Tuen_Mun","Pavement of Shun Tat Street (outside No. 750, Shun Fung Wai)","","順達街行人路(在順風圍750號對出)","","顺达街行人路(在顺风围750号对出)","","22.424648","113.991080","Metals,Paper,Plastics"
"325","Accepted","Tuen_Mun","At side of Bin site at Tong Hang Road (opposite to Ming Wong Garden)","","塘亨路路邊垃圾桶站側(明煌花園對面)","","塘亨路路边垃圾桶站侧(明煌花园对面)","","22.413141","113.969319","Metals,Paper,Plastics"
"326","Accepted","Tuen_Mun","Cul-de-sac of Yeung King Road (near parking space (opposite to the fiberglass refuse collection point))","","楊景路盡頭(近停車位(即纖維垃圾站對面))","","杨景路尽头(近停车位(即纤维垃圾站对面))","","22.395287","113.962854","Metals,Paper,Plastics"
"327","Accepted","Tuen_Mun","Ka Choi Lane RCP","","嘉才里垃圾收集站","","嘉才里垃圾收集站","","22.369642","113.997542","Metals,Paper,Plastics"
"328","Accepted","Tuen_Mun","Pavement at Fung On Street outside Goodview Garden Block 1","","豐安街豐景園1座對出行人路","","丰安街丰景园1座对出行人路","","22.385129","113.973034","Metals,Paper,Plastics"
"329","Accepted","Tuen_Mun","At the junction of Tsing Hoi Circuit and Castle Peak Road-Castle Peak Bay (in front of Tuen Mun Government Secondary School)","","青海圍與青山公路-青山灣段交界(屯門官立中學前)","","青海围与青山公路-青山湾段交界(屯门官立中学前)","","22.389677","113.979890","Metals,Paper,Plastics"
"330","Accepted","Tuen_Mun","Pavement at the intersection between Tai Hing Street and Tai Fong Street","","大方街與大興街交界的行人路","","大方街与大兴街交界的行人路","","22.403359","113.970902","Metals,Paper,Plastics"
"331","Accepted","Tuen_Mun","Bus Terminus at 19 1/2 milestone, Castle Peak Road","","青山公路19咪半巴士總站","","青山公路19咪半巴士总站","","22.379513","113.980510","Metals,Paper,Plastics"
"332","Accepted","Tuen_Mun","Bus Terminus at Tai Lam Chung, Castle Peak Road","","青山公路大欖涌巴士總站","","青山公路大榄涌巴士总站","","22.362231","114.019048","Metals,Paper,Plastics"
